"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Strength - Upper","Strength","","","","2026-01-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-02","","0","","","","","1.87102282047272","0","","","","88","137","","","0.525493966396853","58.13","112","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Strength - Full","Strength","","","","2026-01-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run + Continuos MP","Run","מטרה: אימון נפח + ספציפיות מרתון בעייפות מתונה. תרגול עמידה בקצב מטרה למרתון. פיתוח העמידות הפיזיולוגית (Durability) תרגול נוזלים ותזונה לקראת המרתון תזונה: כ-60 גרם פחמימה בשעה לפחות (!) 500 מ״ל מים בשעה אלקטרוליטים - כ500-800 מ״ג על כל ליטר (לשים לב שלפעמים בג׳לים יש כבר אלקטרוליטים, לתסף את החסר) ניתן להתנסות בג׳ל קפאין בשעה האחרונה.","2.16666666666667","","2026-01-03","","21322.650390625","208","291","1623.526"," *04/01/2026 Aviel Bitton: ‏הריצה הייתה בסדר, לא ריגש אותי הזמן ולא הקצב, הדבר היחיד שהטריד אותי, זה הכאב מאחורי הברך, ‏מבחינת הכאב הכאב היה חלש, עם זאת יציב לאורך כל הריצה והורגש, לא השתפר אבל גם לא החמיר, ‏מבחינת ההמלצות שקיבלתי מהפי פיזיותרפיסט כל עוד זה לא יחמיר אנחנו בסדר ‏מבחינת הקצב שש היה בסדר ‏מבחינת האינטרוול של ה-5:30 גם מרגיש בסדר עם זאת הורגש מאוד מאוד עייפות ברגליים ‏בהתחלה היה מאוד קר אחרי זה השתפר. מבחינת ניהול נוזלים ופחמימה נוהל היטב לפי ההמלצות*","2.16690826416016","2.73300004005432","","172","","151","176","","","0.769331173755497","144.83","110","14","5","0","0","0","0","","","","0","41","83","6","0","0","","","","","6","3"
"Recovery Run (RPE)","Run","הריצה צריכה להיות בקצב קל מאוד. המנטליות - ריצת התאוששות/ג׳וגינג. המספרים פחות חשוב, אך כן נכון לשמור על מאמץ יציב לאורך האימון וללא שינויי עצימות (קצב). דופק צריך להשאר נמוך ויציב, ללא מגמת עלייה.","1","","2026-01-04","","8689.6103515625","183","243","660.538"," *04/01/2026 Aviel Bitton: ‏למרות הריצה ארוכה אתמול, לא יחמיר הכאב בברך אבל עדיין היה קיים ועייפות הרגשה במהלך הריצה ‏הכאב יחסית השתחרר לאחר כ-30 דקות והריצה הייתה קצת יותר נחמדה ‏הריצה הייתה ללא הסתכלות על השעון בכלל ריצה חופשית לגמרי, לאחר הריצה לא היה התמרה בכאב, אפילו היה שיפור כרגע ממשיך את תוכנית האימונים כרגיל*","1.00186002254486","2.40899991989136","","169","","133","146","","","0.681173748690205","51.47","60","0","0","0","0","0","0","","","","0","57","3","0","0","0","","","","","3","5"
"Sub Threshold Blocks - Recovery Week","Run","מטרה: הארכת זמן עבודה קרוב לסף בלי עלייה בלקטט דגשים: קצב אחיד לאורך שלושת המקטעים. קצב לא גורע מהטכניקה. נשימה נשלטת. אם החזרה השלישית מרגישה קשה מדי - האטה קלה, לא למשוך לקצה. מדדים: קצב או וואטים. דופק יכול להיות כלי מעקב אבל לא להכתיב את העצימות","1.175","","2026-01-05","","11749.66015625","209","297","884.466","","1.17528414726257","2.77699995040894","","171","","160","185","","","0.783125541021626","80.17","43","7","8","13","0","0","0","","","","0","40","14","16","0","0","","","","","7","7"
"Build 1 Week 4 (Recovery)","Custom","","","","2026-01-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength - Lower","Strength","","","","2026-01-05","","0","","","","","1.74529552459717","0","","","","87","122","","","0.525981768318908","54.24","105","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Recovery Run (RPE)","Run","הריצה צריכה להיות בקצב קל מאוד. המנטליות - ריצת התאוששות/ג׳וגינג. המספרים פחות חשוב, אך כן נכון לשמור על מאמץ יציב לאורך האימון וללא שינויי עצימות (קצב). דופק צריך להשאר נמוך ויציב, ללא מגמת עלייה.","0.75","","2026-01-07","","7002.41015625","197","303","536.186"," *07/01/2026 Aviel Bitton: בוקר טוב, ריצה הייתה בסדר מרגיש שהתאוששתי יותר אבל עדיין צריך התאוששות* *07/01/2026 Daniel Berzan: אחלה. אימוני כוח בניהול שלך, אבל שים לב שאתה נותן מקום להתאושש גם שם.*","0.753724992275238","2.58100008964539","","169","","148","161","","","0.729488767251304","44.11","45","0","0","0","0","0","0","","","","0","30","14","0","0","0","","","","","4","5"
"Strength","Strength","","","","2026-01-07","","0","","","","","2.46747803688049","0","","","","96","138","","","0.542024182936167","82.14","148","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2026-01-08","","16085.169921875","206","272","1236.548"," *08/01/2026 Aviel Bitton: הייתה ריצה מעולה, אני ואסף דיברנו במהלך כל הריצה, לא היו לי כאבים בכלל בשום שלב בשום דבר הרגשתי טוב רק העשר דק האחרונות רגליים הרגישו עייפות מכונה לרגליים עד שני*","1.66687893867493","2.68099999427795","","167","","154","172","","","0.755870302866636","106.9","80","19","1","0","0","0","0","","","","1","27","71","1","0","0","","","","","4","3"
"Strength - Full","Strength","","","","2026-01-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2 Long Run (90-100min)","Run","מטרה: אימון נפח, שבוע התאוששות.","1.66666666666667","","2026-01-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-09","","0","","","","","1.88674533367157","0","","","","92","131","","","0.531626496771179","60.02","113","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Strength - Upper","Strength","","","","2026-01-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Build 2 Week 1","Custom","","","","2026-01-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub Threshold Extended Blocks (M)","Run","מטרה: המשך עבודה קרוב לסף בלי עליה בלקטט דגשים: קצב אחיד לאורך שלושת המקטעים. קצב לא גורע מהטכניקה. נשימה נשלטת. אם החזרה השלישית מרגישה קשה מדי - האטה קלה, לא למשוך לקצה. אפשר לקצר זמני התאוששות מ150 שניות ל-120 שניות בחזרה השלישית. מדדים: קצב או וואטים. דופק יכול להיות כלי מעקב אבל לא להכתיב את העצימות","1.5","","2026-01-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Run - Easy + Z2 Run","Run","זמן עבודה מתחת לסף הראשון - לשים לב לחלוקת העצימות בין ריצה קלה לריצה בזון 2. לא להפוך את כל הריצה רק כזון 2 או רק כריצה קלה.","1","","2026-01-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run + Continuos MP","Run","מטרה: אימון נפח + ספציפיות מרתון בעייפות מתונה. תרגול עמידה בקצב מטרה למרתון. פיתוח העמידות הפיזיולוגית (Durability) תרגול נוזלים ותזונה לקראת המרתון תזונה: כ-60 גרם פחמימה בשעה לפחות (!) 500 מ״ל מים בשעה אלקטרוליטים - כ500-800 מ״ג על כל ליטר (לשים לב שלפעמים בג׳לים יש כבר אלקטרוליטים, לתסף את החסר) ניתן להתנסות בג׳ל קפאין בשעה האחרונה.","2.16666666666667","","2026-01-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recovery Run (RPE)","Run","הריצה צריכה להיות בקצב קל מאוד. המנטליות - ריצת התאוששות/ג׳וגינג. המספרים פחות חשוב, אך כן נכון לשמור על מאמץ יציב לאורך האימון וללא שינויי עצימות (קצב). דופק צריך להשאר נמוך ויציב, ללא מגמת עלייה.","1","","2026-01-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Build 2 Week 2","Custom","","","","2026-01-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
