"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Morning Run","Run","","","","2026-01-03","","21320.0","","","","","2.1666666666666665","2.73972602739726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-01-04","","8690.0","","","","","1.0013888888888889","2.4154589371980677","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-01-05","","11750.0","","","","","1.1752777777777779","2.7777777777777777","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-01-07","","7000.0","","","","","0.7536111111111111","2.5839793281653747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Evening Run","Run","","","","2026-01-08","","16079.999999999998","","","","","1.6666666666666665","2.6881720430107525","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-01-12","","15860.0","","","","","1.5005555555555556","2.9411764705882355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-01-14","","8210.0","","","","","0.8336111111111112","2.73972602739726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-01-18","","22270.0","","","","","2.167222222222222","2.857142857142857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-01-20","","11810.0","","","","","1.0611111111111111","3.0959752321981426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Evening Run","Run","","","","2026-01-24","","28000.0","","","","","2.813055555555555","2.770083102493075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-01-26","","7380.0","","","","","0.8338888888888889","2.457002457002457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-01-28","","13970.0","","","","","1.3333333333333333","2.9154518950437316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-01-30","","6050.0","","","","","0.6669444444444445","2.525252525252525","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Evening Run","Run","","","","2026-01-31","","30020.0","","","","","3.056388888888889","2.73224043715847","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Night Run","Run","","","","2026-02-02","","6220.0","","","","","0.7505555555555555","2.304147465437788","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-02-04","","10000.0","","","","","1.0091666666666668","2.7548209366391183","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-02-06","","21170.0","","","","","1.9224999999999999","3.067484662576687","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-02-06","","2300.0","","","","","0.24944444444444444","2.5641025641025643","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morning Run","Run","","","","2026-02-08","","6360.0","","","","","0.7491666666666666","2.3640661938534278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Evening Run","Run","","","","2026-02-09","","13670.0","","","","","1.3172222222222223","2.8901734104046244","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run - 34km w/ 8km MP","Run","","","","2026-02-14","","34010.0","","","","","3.4180555555555556","2.770083102493075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Run - Easy + Z2 Run","Run","","","","2026-02-16","","11800.0","","","","","1.2505555555555556","2.6246719160104988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Threshold - 4x3"" (Maintenance)","Run","","","","2026-02-18","","9020.0","","","","","0.9011111111111111","2.785515320334262","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run - Z2/LT1","Run","","","","2026-02-20","","19130.0","","","","","1.9261111111111109","2.7624309392265194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jog - Recovery","Run","","","","2026-02-22","","6870.0","","","","","0.8336111111111112","2.293577981651376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Taper - Threshold Touch","Run","","","","2026-02-23","","8310.0","","","","","0.8169444444444445","2.8328611898016995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Taper - Easy + Strides","Run","","","","2026-02-25","","5040.0","","","","","0.5172222222222222","2.710027100271003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tel Aviv Marathon","Run","","","","2026-02-27","","42480.0","","","","","3.9969444444444444","2.9585798816568047","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Back to Business","Run","","","","2026-03-16","","4640.0","","","","","0.5","2.5839793281653747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Back to Business #2","Run","","","","2026-03-20","","5290.0","","","","","0.5333333333333333","2.7624309392265194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jog (RPE)","Run","","","","2026-03-23","","7020.0","","","","","0.75","2.6041666666666665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cruise Intervals Run 4/2*4","Run","","","","2026-03-25","","8039.999999999999","","","","","0.8169444444444445","2.73972602739726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run (Bellow VT1/LT1)","Run","","","","2026-03-28","","10010.0","","","","","1.015","2.73972602739726","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run (Bellow VT1/LT1)","Run","","","","2026-04-03","","12140.0","","","","","1.25","2.7027027027027026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Run (RPE)","Run","","","","2026-04-07","","7980.0","","","","","0.9166666666666666","2.4213075060532687","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run (Bellow VT1/LT1)","Run","","","","2026-04-11","","15090.0","","","","","1.5002777777777778","2.8011204481792715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cruise Intervals Run 4/2*5 (POWE","Run","","","","2026-04-13","","9140.0","","","","","0.9175","2.770083102493075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy Run (RPE)","Run","","","","2026-04-14","","5470.0","","","","","0.6669444444444445","2.277904328018223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6km Easy Run","Run","6km easy run at a conversational pace (no faster than 5:50/km)","","","2026-04-17","","8000.0","","","","","0.8230555555555555","2.7027027027027026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Easy + Strides","Run","2km warm up at a conversational pace (no faster than 5:50/km), relaxed and easy!","","","2026-04-22","","6010.0","","","","","0.6316666666666667","2.6455026455026456","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
